crop,year,season,state,area,production,annual rainfall,yield
Barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,1.68
Groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,1.13
Maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,2.658461538
Potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,18.23722222
Rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,1.837222222
Rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,2.843888889
Rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,1.985555556
Sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,67.83625
Sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,0.0
Wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,1.886666667
Bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,2.17
Groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,1.54
Onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,16.5
Rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,2.46
Rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,2.555
Rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,2.55
Sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,82.595
Maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,0.608695652
Onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,2.340434783
Potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7.230434783
Rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,1.055652174
Rice,1998,Summer     ,Assam,223913.0,446114,2354.4,1.685217391
Rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,1.395652174
Sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,39.89304348
Wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,0.999545455
Groundnut,1998,Kharif     ,Goa,350.0,412,2964.9,1.18
Groundnut,1998,Rabi       ,Goa,1048.0,2124,2964.9,2.03
Rice,1998,Kharif     ,Goa,41000.0,104249,2964.9,2.54
Rice,1998,Rabi       ,Goa,15439.0,46925,2964.9,3.04
Sugarcane,1998,Whole Year ,Goa,1320.0,64000,2964.9,48.48
Bajra,1998,Kharif     ,Karnataka,415816.0,282231,1260.8,0.601764706
Bajra,1998,Rabi       ,Karnataka,451.0,536,1260.8,1.19
Bajra,1998,Summer     ,Karnataka,846.0,498,1260.8,0.59
Groundnut,1998,Kharif     ,Karnataka,1012577.0,929016,1260.8,0.8568
Groundnut,1998,Rabi       ,Karnataka,217445.0,263118,1260.8,1.3052
Maize,1998,Kharif     ,Karnataka,450472.0,1542607,1260.8,3.366
Maize,1998,Rabi       ,Karnataka,49922.0,101605,1260.8,1.97952381
Maize,1998,Summer     ,Karnataka,11974.0,27080,1260.8,2.241904762
Onion,1998,Kharif     ,Karnataka,79921.0,362053,1260.8,5.363636364
Onion,1998,Rabi       ,Karnataka,8882.0,91057,1260.8,8.936315789
Onion,1998,Summer     ,Karnataka,4797.0,55339,1260.8,11.86631579
Potato,1998,Kharif     ,Karnataka,28755.0,317052,1260.8,12.37333333
Potato,1998,Rabi       ,Karnataka,4173.0,82124,1260.8,18.90714286
Potato,1998,Summer     ,Karnataka,1137.0,19387,1260.8,17.6
Potato,1998,Whole Year ,Karnataka,268.0,3910,1260.8,14.59
Rice,1998,Kharif     ,Karnataka,1079193.0,2599170,1260.8,2.310740741
Rice,1998,Rabi       ,Karnataka,51782.0,106072,1260.8,2.054285714
Rice,1998,Summer     ,Karnataka,295830.0,951569,1260.8,2.99375
Sunflower,1998,Kharif     ,Karnataka,430676.0,127090,1260.8,0.382608696
Sunflower,1998,Rabi       ,Karnataka,359514.0,112736,1260.8,0.390416667
Sunflower,1998,Summer     ,Karnataka,43156.0,24211,1260.8,0.595217391
Wheat,1998,Rabi       ,Karnataka,268981.0,219433,1260.8,0.848823529
Groundnut,1998,Kharif     ,Kerala,7021.0,5219,3151.5,0.62
Rice,1998,Autumn     ,Kerala,120217.0,235849,3151.5,1.856923077
Rice,1998,Summer     ,Kerala,57700.0,144872,3151.5,2.116153846
Rice,1998,Winter     ,Kerala,174714.0,346022,3151.5,1.937142857
Sugarcane,1998,Whole Year ,Kerala,6160.0,472160,3151.5,64.83
Maize,1998,Kharif     ,Meghalaya,17219.0,25272,6552.7,1.457142857
Potato,1998,Whole Year ,Meghalaya,20753.0,201059,6552.7,7.738571429
Rice,1998,Kharif     ,Meghalaya,105402.0,149742,6552.7,1.51
Sugarcane,1998,Whole Year ,Meghalaya,83.0,225,6552.7,2.328
Wheat,1998,Rabi       ,Meghalaya,4287.0,6998,6552.7,1.605
Bajra,1998,Kharif     ,West Bengal,175.0,84,2152.5,0.436666667
Barley,1998,Rabi       ,West Bengal,5938.0,5910,2152.5,1.10375
Groundnut,1998,Whole Year ,West Bengal,30157.0,34994,2152.5,1.128571429
Maize,1998,Kharif     ,West Bengal,38519.0,121161,2152.5,2.634
Potato,1998,Whole Year ,West Bengal,318199.0,6689636,2152.5,18.95944444
Rice,1998,Autumn     ,West Bengal,425002.0,740688,2152.5,1.751111111
Rice,1998,Summer     ,West Bengal,1450473.0,4921984,2152.5,3.22
Rice,1998,Winter     ,West Bengal,4028620.0,7653780,2152.5,1.781666667
Sugarcane,1998,Whole Year ,West Bengal,26949.0,2001900,2152.5,75.314375
Sunflower,1998,Kharif     ,West Bengal,149.0,111,2152.5,0.71
Wheat,1998,Rabi       ,West Bengal,367472.0,778090,2152.5,1.870555556
Maize,1999,Kharif     ,Assam,19708.0,14056,2201.8,0.613913043
Onion,1999,Whole Year ,Assam,7365.0,17167,2201.8,2.322173913
Potato,1999,Whole Year ,Assam,76748.0,699744,2201.8,8.062608696
Rice,1999,Autumn     ,Assam,557220.0,514156,2201.8,1.094782609
Rice,1999,Summer     ,Assam,294654.0,653783,2201.8,1.990434783
Rice,1999,Winter     ,Assam,1793994.0,2692709,2201.8,1.501304348
Sugarcane,1999,Whole Year ,Assam,29107.0,1154615,2201.8,40.43478261
Wheat,1999,Rabi       ,Assam,76310.0,97583,2201.8,1.256818182
Groundnut,1999,Kharif     ,Goa,350.0,513,3879.3,1.47
Groundnut,1999,Rabi       ,Goa,1004.0,1767,3879.3,1.76
Rice,1999,Kharif     ,Goa,40500.0,96281,3879.3,2.38
Rice,1999,Rabi       ,Goa,16213.0,43642,3879.3,2.69
Sugarcane,1999,Whole Year ,Goa,1335.0,68440,3879.3,51.27
Groundnut,1999,Kharif     ,Kerala,6921.0,5144,2914.6,0.37
Rice,1999,Autumn     ,Kerala,121525.0,252876,2914.6,2.081538462
Rice,1999,Summer     ,Kerala,58021.0,144551,2914.6,2.292857143
Rice,1999,Winter     ,Kerala,170228.0,373259,2914.6,2.097142857
Sugarcane,1999,Whole Year ,Kerala,5780.0,578820,2914.6,88.2225
Maize,1999,Kharif     ,Meghalaya,16637.0,24051,6200.3,1.448571429
Potato,1999,Whole Year ,Meghalaya,18339.0,143287,6200.3,6.858571429
Rice,1999,Kharif     ,Meghalaya,102482.0,156887,6200.3,1.605714286
Rice,1999,Rabi       ,Meghalaya,3929.0,13846,6200.3,1.755714286
Sugarcane,1999,Whole Year ,Meghalaya,80.0,223,6200.3,2.372
Bajra,1999,Kharif     ,Puducherry,170.0,470,1434.5875,2.76
Groundnut,1999,Kharif     ,Puducherry,898.0,2511,1434.5875,2.125
Onion,1999,Whole Year ,Puducherry,14.0,183,1434.5875,13.07
Rice,1999,Kharif     ,Puducherry,25444.0,59433,1434.5875,2.61
Sugarcane,1999,Whole Year ,Puducherry,2798.0,237610,1434.5875,83.0
Bajra,1999,Kharif     ,West Bengal,146.0,96,2318.1,0.606666667
Barley,1999,Rabi       ,West Bengal,5077.0,4686,2318.1,0.776666667
Groundnut,1999,Kharif     ,West Bengal,4804.0,3311,2318.1,1.16625
Groundnut,1999,Rabi       ,West Bengal,6098.0,9269,2318.1,1.525
Groundnut,1999,Summer     ,West Bengal,23233.0,33214,2318.1,1.315
Maize,1999,Kharif     ,West Bengal,35129.0,69682,2318.1,1.941538462
Potato,1999,Summer     ,West Bengal,2478.0,33214,2318.1,13.4
Potato,1999,Winter     ,West Bengal,313373.0,7449103,2318.1,20.56777778
Rice,1999,Autumn     ,West Bengal,427155.0,827970,2318.1,1.868888889
Rice,1999,Summer     ,West Bengal,1474338.0,4468400,2318.1,2.897222222
Rice,1999,Winter     ,West Bengal,4248946.0,8463310,2318.1,1.906666667
Sugarcane,1999,Whole Year ,West Bengal,22883.0,1762806,2318.1,78.571875
Sunflower,1999,Kharif     ,West Bengal,150.0,90,2318.1,0.683333333
Wheat,1999,Rabi       ,West Bengal,364155.0,850778,2318.1,2.096666667
Bajra,2000,Kharif     ,Andhra Pradesh,129475.0,135964,935.6,1.001666667
Bajra,2000,Rabi       ,Andhra Pradesh,14229.0,12524,935.6,0.883125
Groundnut,2000,Kharif     ,Andhra Pradesh,1601349.0,1697233,935.6,0.904090909
Groundnut,2000,Rabi       ,Andhra Pradesh,272468.0,445720,935.6,1.668181818
Maize,2000,Kharif     ,Andhra Pradesh,430544.0,1107165,935.6,2.564545455
Maize,2000,Rabi       ,Andhra Pradesh,97123.0,473602,935.6,5.019545455
Onion,2000,Kharif     ,Andhra Pradesh,17058.0,227873,935.6,12.77315789
Onion,2000,Rabi       ,Andhra Pradesh,13248.0,308617,935.6,22.5085
Potato,2000,Whole Year ,Andhra Pradesh,2489.0,14618,935.6,6.14375
Rice,2000,Kharif     ,Andhra Pradesh,3003673.0,8233806,935.6,2.7
Rice,2000,Rabi       ,Andhra Pradesh,1239053.0,4224208,935.6,2.939090909
Sugarcane,2000,Whole Year ,Andhra Pradesh,237150.0,17690131,935.6,73.8955
Sunflower,2000,Kharif     ,Andhra Pradesh,197261.0,167828,935.6,1.038421053
Wheat,2000,Rabi       ,Andhra Pradesh,14261.0,8121,935.6,0.581818182
Maize,2000,Kharif     ,Assam,20241.0,14616,1965.5,0.605652174
Onion,2000,Whole Year ,Assam,7359.0,17156,1965.5,2.331304348
Potato,2000,Whole Year ,Assam,80504.0,668457,1965.5,7.459565217
Rice,2000,Autumn     ,Assam,539665.0,557764,1965.5,1.197826087
Rice,2000,Summer     ,Assam,329255.0,681027,1965.5,1.825217391
Rice,2000,Winter     ,Assam,1777257.0,2759652,1965.5,1.581304348
Sugarcane,2000,Whole Year ,Assam,26768.0,987696,1965.5,36.57217391
Wheat,2000,Rabi       ,Assam,70301.0,85695,1965.5,1.175909091
Groundnut,2000,Kharif     ,Goa,360.0,567,3886.9,1.58
Groundnut,2000,Rabi       ,Goa,1421.0,2584,3886.9,1.82
Rice,2000,Kharif     ,Goa,41000.0,96568,3886.9,2.36
Rice,2000,Rabi       ,Goa,16207.0,45555,3886.9,2.81
Sugarcane,2000,Whole Year ,Goa,1250.0,72750,3886.9,58.2
Bajra,2000,Kharif     ,Karnataka,461048.0,340498,1213.3,0.662352941
Bajra,2000,Rabi       ,Karnataka,160.0,129,1213.3,0.81
Bajra,2000,Summer     ,Karnataka,913.0,998,1213.3,1.11
Groundnut,2000,Kharif     ,Karnataka,883611.0,881807,1213.3,0.9464
Groundnut,2000,Rabi       ,Karnataka,179804.0,199299,1213.3,1.173846154
Maize,2000,Kharif     ,Karnataka,599893.0,1961879,1213.3,3.1712
Maize,2000,Rabi       ,Karnataka,57797.0,142674,1213.3,2.397368421
Maize,2000,Summer     ,Karnataka,11165.0,31091,1213.3,2.774761905
Onion,2000,Whole Year ,Karnataka,120358.0,645357,1213.3,6.0164
Potato,2000,Whole Year ,Karnataka,38298.0,452462,1213.3,11.70933333
Rice,2000,Kharif     ,Karnataka,1120549.0,2792657,1213.3,2.357407407
Rice,2000,Rabi       ,Karnataka,52005.0,106335,1213.3,2.064615385
Rice,2000,Summer     ,Karnataka,310892.0,947744,1213.3,2.751304348
Sugarcane,2000,Whole Year ,Karnataka,417141.0,42923496,1213.3,98.80038462
Sunflower,2000,Kharif     ,Karnataka,188140.0,100627,1213.3,0.5375
Sunflower,2000,Rabi       ,Karnataka,261152.0,110005,1213.3,0.510434783
Sunflower,2000,Summer     ,Karnataka,28499.0,20405,1213.3,0.7235
Wheat,2000,Rabi       ,Karnataka,266310.0,249880,1213.3,0.93375
Groundnut,2000,Kharif     ,Kerala,3677.0,2733,2412.6,0.37
Rice,2000,Autumn     ,Kerala,129752.0,260306,2412.6,1.938461538
Rice,2000,Summer     ,Kerala,55258.0,154606,2412.6,2.23
Rice,2000,Winter     ,Kerala,162445.0,336416,2412.6,2.042857143
Sugarcane,2000,Whole Year ,Kerala,3367.0,275550,2412.6,90.19
Maize,2000,Kharif     ,Meghalaya,16906.0,24250,6258.8,1.437142857
Potato,2000,Whole Year ,Meghalaya,18318.0,144292,6258.8,6.954285714
Rice,2000,Kharif     ,Meghalaya,102657.0,165907,6258.8,1.681428571
Rice,2000,Rabi       ,Meghalaya,4003.0,13135,6258.8,1.744285714
Sugarcane,2000,Whole Year ,Meghalaya,86.0,237,6258.8,2.288
Wheat,2000,Rabi       ,Meghalaya,4215.0,6892,6258.8,1.395
Bajra,2000,Kharif     ,Puducherry,186.0,513,1434.5875,2.76
Groundnut,2000,Kharif     ,Puducherry,1175.0,2158,1434.5875,1.62
Onion,2000,Whole Year ,Puducherry,13.0,202,1434.5875,15.54
Rice,2000,Kharif     ,Puducherry,42779.0,103606,1434.5875,2.605
Sugarcane,2000,Whole Year ,Puducherry,2464.0,200413,1434.5875,81.17
Bajra,2000,Kharif     ,West Bengal,313.0,256,1907.7,0.8875
Barley,2000,Rabi       ,West Bengal,3471.0,1820,1907.7,0.62
Groundnut,2000,Kharif     ,West Bengal,2020.0,1594,1907.7,0.968333333
Groundnut,2000,Rabi       ,West Bengal,8513.0,12379,1907.7,1.37
Groundnut,2000,Summer     ,West Bengal,25741.0,39433,1907.7,1.355625
Maize,2000,Kharif     ,West Bengal,35267.0,88264,1907.7,2.568571429
Potato,2000,Whole Year ,West Bengal,299664.0,7673130,1907.7,22.39388889
Rice,2000,Autumn     ,West Bengal,393944.0,683950,1907.7,1.648333333
Rice,2000,Summer     ,West Bengal,1401841.0,4541328,1907.7,3.021111111
Rice,2000,Winter     ,West Bengal,3639538.0,7202760,1907.7,1.876111111
Sugarcane,2000,Whole Year ,West Bengal,21609.0,1465550,1907.7,67.08461538
Sunflower,2000,Kharif     ,West Bengal,246.0,156,1907.7,1.276666667
Wheat,2000,Rabi       ,West Bengal,426000.0,1057610,1907.7,2.330555556
Bajra,2001,Kharif     ,Andhra Pradesh,81851.0,63589,928.4,0.851764706
Bajra,2001,Rabi       ,Andhra Pradesh,9684.0,7442,928.4,0.795
Groundnut,2001,Kharif     ,Andhra Pradesh,1438665.0,817551,928.4,0.83
Groundnut,2001,Rabi       ,Andhra Pradesh,252453.0,432682,928.4,1.765454545
Maize,2001,Kharif     ,Andhra Pradesh,337533.0,986011,928.4,2.801818182
Maize,2001,Rabi       ,Andhra Pradesh,90752.0,470744,928.4,5.592857143
Onion,2001,Kharif     ,Andhra Pradesh,17736.0,234978,928.4,12.74411765
Onion,2001,Rabi       ,Andhra Pradesh,14089.0,324477,928.4,21.08136364
Potato,2001,Whole Year ,Andhra Pradesh,2348.0,14653,928.4,5.85
Rice,2001,Kharif     ,Andhra Pradesh,2426073.0,6500545,928.4,2.627272727
Rice,2001,Rabi       ,Andhra Pradesh,1398674.0,4889246,928.4,3.025909091
Sugarcane,2001,Whole Year ,Andhra Pradesh,218298.0,18081889,928.4,84.989
Sunflower,2001,Kharif     ,Andhra Pradesh,267613.0,219397,928.4,0.986111111
Wheat,2001,Rabi       ,Andhra Pradesh,13793.0,9486,928.4,0.6275
Maize,2001,Kharif     ,Assam,19600.0,13940,1824.7,0.608695652
Onion,2001,Whole Year ,Assam,7476.0,17453,1824.7,2.351304348
Potato,2001,Whole Year ,Assam,80056.0,620571,1824.7,7.350869565
Rice,2001,Autumn     ,Assam,495698.0,487719,1824.7,1.120434783
Rice,2001,Summer     ,Assam,325987.0,653036,1824.7,1.806521739
Rice,2001,Winter     ,Assam,1714736.0,2713493,1824.7,1.600434783
Sugarcane,2001,Whole Year ,Assam,27166.0,1011398,1824.7,37.2173913
Wheat,2001,Rabi       ,Assam,72245.0,85300,1824.7,1.185217391
Groundnut,2001,Kharif     ,Goa,148.0,137,2530.6,0.93
Groundnut,2001,Rabi       ,Goa,1515.0,2390,2530.6,1.58
Rice,2001,Kharif     ,Goa,32746.0,79071,2530.6,2.41
Rice,2001,Rabi       ,Goa,16637.0,47452,2530.6,2.85
Sugarcane,2001,Whole Year ,Goa,1205.0,70565,2530.6,58.56
Bajra,2001,Kharif     ,Karnataka,208213.0,111091,1002.9,0.510666667
Bajra,2001,Rabi       ,Karnataka,442.0,221,1002.9,0.5
Bajra,2001,Summer     ,Karnataka,850.0,929,1002.9,1.09
Groundnut,2001,Kharif     ,Karnataka,854741.0,585707,1002.9,0.843846154
Maize,2001,Kharif     ,Karnataka,505574.0,1274858,1002.9,2.663333333
Maize,2001,Rabi       ,Karnataka,65189.0,152769,1002.9,2.279
Maize,2001,Summer     ,Karnataka,9272.0,23960,1002.9,2.6265
Onion,2001,Whole Year ,Karnataka,125815.0,721033,1002.9,7.9108
Potato,2001,Whole Year ,Karnataka,39156.0,473407,1002.9,12.815
Rice,2001,Kharif     ,Karnataka,1087967.0,2393946,1002.9,2.154814815
Rice,2001,Rabi       ,Karnataka,53480.0,99699,1002.9,1.840714286
Rice,2001,Summer     ,Karnataka,276277.0,740400,1002.9,2.4368
Sugarcane,2001,Whole Year ,Karnataka,406950.0,33016618,1002.9,84.00269231
Sunflower,2001,Kharif     ,Karnataka,124184.0,59516,1002.9,0.520833333
Sunflower,2001,Rabi       ,Karnataka,418198.0,168890,1002.9,0.556363636
Sunflower,2001,Summer     ,Karnataka,41936.0,34270,1002.9,0.820526316
Wheat,2001,Rabi       ,Karnataka,260486.0,198822,1002.9,0.777333333
Groundnut,2001,Kharif     ,Kerala,2437.0,1812,2946.7,0.74
Rice,2001,Autumn     ,Kerala,116540.0,235838,2946.7,1.886923077
Rice,2001,Summer     ,Kerala,43850.0,105032,2946.7,2.151428571
Rice,2001,Winter     ,Kerala,161978.0,362634,2946.7,2.153571429
Sugarcane,2001,Whole Year ,Kerala,3267.0,269780,2946.7,88.77583333
Maize,2001,Kharif     ,Meghalaya,16866.0,25247,4241.0,1.471428571
Potato,2001,Whole Year ,Meghalaya,18151.0,159032,4241.0,7.288571429
Rice,2001,Kharif     ,Meghalaya,107761.0,188971,4241.0,1.751428571
Sugarcane,2001,Whole Year ,Meghalaya,83.0,226,4241.0,2.278
Wheat,2001,Rabi       ,Meghalaya,2753.0,4812,4241.0,1.455
Bajra,2001,Kharif     ,Puducherry,162.0,345,1434.5875,2.13
Groundnut,2001,Kharif     ,Puducherry,1229.0,1915,1434.5875,1.195
Onion,2001,Whole Year ,Puducherry,16.0,251,1434.5875,15.69
Rice,2001,Kharif     ,Puducherry,26263.0,66868,1434.5875,2.415
Sugarcane,2001,Whole Year ,Puducherry,2117.0,197412,1434.5875,91.64
Bajra,2001,Kharif     ,West Bengal,425.0,322,1556.6,0.855
Barley,2001,Rabi       ,West Bengal,2622.0,2825,1556.6,1.0675
Groundnut,2001,Kharif     ,West Bengal,2197.0,2126,1556.6,1.16625
Groundnut,2001,Rabi       ,West Bengal,8679.0,11650,1556.6,1.285384615
Groundnut,2001,Summer     ,West Bengal,26029.0,41879,1556.6,1.385
Maize,2001,Kharif     ,West Bengal,33288.0,86409,1556.6,2.314285714
Potato,2001,Whole Year ,West Bengal,299821.0,7822363,1556.6,21.95444444
Rice,2001,Autumn     ,West Bengal,353048.0,731778,1556.6,2.094705882
Rice,2001,Summer     ,West Bengal,1366273.0,4166145,1556.6,2.788823529
Rice,2001,Winter     ,West Bengal,3783766.0,8917625,1556.6,2.235294118
Sugarcane,2001,Whole Year ,West Bengal,19598.0,1513656,1556.6,79.67857143
Sunflower,2001,Kharif     ,West Bengal,1279.0,1691,1556.6,1.048
Wheat,2001,Rabi       ,West Bengal,434004.0,961533,1556.6,2.109444444
Bajra,2002,Kharif     ,Andhra Pradesh,79711.0,53526,648.1,0.706470588
Bajra,2002,Rabi       ,Andhra Pradesh,7268.0,3953,648.1,0.594285714
Groundnut,2002,Kharif     ,Andhra Pradesh,1270662.0,542342,648.1,0.767727273
Groundnut,2002,Rabi       ,Andhra Pradesh,198962.0,278312,648.1,1.495454545
Maize,2002,Kharif     ,Andhra Pradesh,413659.0,912047,648.1,1.491363636
Maize,2002,Rabi       ,Andhra Pradesh,111990.0,573695,648.1,5.602272727
Onion,2002,Kharif     ,Andhra Pradesh,15403.0,171950,648.1,10.49411765
Onion,2002,Rabi       ,Andhra Pradesh,11725.0,240657,648.1,19.15952381
Potato,2002,Whole Year ,Andhra Pradesh,2672.0,18677,648.1,6.946666667
Rice,2002,Kharif     ,Andhra Pradesh,2109301.0,5054013,648.1,2.202727273
Rice,2002,Rabi       ,Andhra Pradesh,712766.0,2272773,648.1,2.533636364
Sugarcane,2002,Whole Year ,Andhra Pradesh,232471.0,15387218,648.1,69.35666667
Sunflower,2002,Kharif     ,Andhra Pradesh,416579.0,276207,648.1,0.9025
Wheat,2002,Rabi       ,Andhra Pradesh,11044.0,14898,648.1,1.09
Maize,2002,Kharif     ,Assam,19812.0,14194,1973.6,0.606086957
Onion,2002,Whole Year ,Assam,7500.0,17467,1973.6,2.337826087
Potato,2002,Whole Year ,Assam,75486.0,589916,1973.6,7.566956522
Rice,2002,Autumn     ,Assam,464497.0,444884,1973.6,1.076521739
Rice,2002,Summer     ,Assam,327468.0,622358,1973.6,1.794347826
Rice,2002,Winter     ,Assam,1748715.0,2670560,1973.6,1.545652174
Sugarcane,2002,Whole Year ,Assam,25152.0,916076,1973.6,37.02130435
Wheat,2002,Rabi       ,Assam,69061.0,77952,1973.6,1.152272727
Groundnut,2002,Kharif     ,Goa,241.0,348,2516.3,1.44
Groundnut,2002,Rabi       ,Goa,2148.0,3915,2516.3,1.82
Rice,2002,Kharif     ,Goa,33728.0,90072,2516.3,2.67
Rice,2002,Rabi       ,Goa,16441.0,44695,2516.3,2.72
Sugarcane,2002,Whole Year ,Goa,1188.0,65470,2516.3,55.11
Groundnut,2002,Kharif     ,Kerala,2422.0,1801,2511.2,0.74
Rice,2002,Autumn     ,Kerala,112438.0,233217,2511.2,2.130769231
Rice,2002,Summer     ,Kerala,41079.0,111850,2511.2,2.212142857
Rice,2002,Winter     ,Kerala,157004.0,343792,2511.2,2.123571429
Sugarcane,2002,Whole Year ,Kerala,3758.0,312830,2511.2,88.46083333
Bajra,2002,Kharif     ,Tamil Nadu,102020.0,88682,315.9,1.041666667
Groundnut,2002,Kharif     ,Tamil Nadu,502090.0,717403,315.9,1.509285714
Maize,2002,Kharif     ,Tamil Nadu,121057.0,191646,315.9,1.806956522
Onion,2002,Whole Year ,Tamil Nadu,23492.0,198715,315.9,8.54625
Potato,2002,Whole Year ,Tamil Nadu,4537.0,73362,315.9,18.3475
Rice,2002,Kharif     ,Tamil Nadu,1516537.0,3577108,315.9,2.884642857
Sugarcane,2002,Whole Year ,Tamil Nadu,261416.0,24165390,315.9,89.04185185
Sunflower,2002,Kharif     ,Tamil Nadu,7709.0,8908,315.9,1.075217391
Bajra,2002,Kharif     ,West Bengal,332.0,252,1629.1,0.756666667
Barley,2002,Rabi       ,West Bengal,2459.0,2341,1629.1,0.843333333
Groundnut,2002,Kharif     ,West Bengal,1368.0,1317,1629.1,1.1625
Groundnut,2002,Rabi       ,West Bengal,7020.0,10523,1629.1,1.422
Groundnut,2002,Summer     ,West Bengal,22596.0,35480,1629.1,1.360588235
Maize,2002,Kharif     ,West Bengal,27724.0,55300,1629.1,1.895384615
Potato,2002,Summer     ,West Bengal,2395.0,30807,1629.1,12.86
Potato,2002,Winter     ,West Bengal,346906.0,6871659,1629.1,20.73388889
Rice,2002,Autumn     ,West Bengal,384965.0,796652,1629.1,2.092777778
Rice,2002,Summer     ,West Bengal,1406078.0,4198595,1629.1,2.747777778
Rice,2002,Winter     ,West Bengal,4051084.0,9393991,1629.1,2.221666667
Sugarcane,2002,Whole Year ,West Bengal,19460.0,1281276,1629.1,64.52933333
Sunflower,2002,Kharif     ,West Bengal,2369.0,3207,1629.1,1.062
Wheat,2002,Rabi       ,West Bengal,405350.0,887437,1629.1,1.992777778
Bajra,2003,Kharif     ,Andhra Pradesh,128512.0,141628,826.0,1.072631579
Bajra,2003,Rabi       ,Andhra Pradesh,9603.0,6475,826.0,0.88375
Groundnut,2003,Kharif     ,Andhra Pradesh,1258479.0,607024,826.0,0.836818182
Groundnut,2003,Rabi       ,Andhra Pradesh,234780.0,378789,826.0,1.645
Maize,2003,Kharif     ,Andhra Pradesh,557812.0,1671502,826.0,2.420909091
Maize,2003,Rabi       ,Andhra Pradesh,162802.0,805284,826.0,5.081818182
Onion,2003,Kharif     ,Andhra Pradesh,16862.0,234546,826.0,12.80157895
Onion,2003,Rabi       ,Andhra Pradesh,12187.0,284935,826.0,19.88333333
Potato,2003,Whole Year ,Andhra Pradesh,2648.0,24049,826.0,9.045
Rice,2003,Kharif     ,Andhra Pradesh,2108904.0,5841539,826.0,2.670909091
Rice,2003,Rabi       ,Andhra Pradesh,865734.0,3111263,826.0,2.729090909
Sugarcane,2003,Whole Year ,Andhra Pradesh,208969.0,15069824,826.0,74.48380952
Sunflower,2003,Kharif     ,Andhra Pradesh,490757.0,333265,826.0,1.057142857
Wheat,2003,Rabi       ,Andhra Pradesh,11928.0,6741,826.0,0.481818182
